지역,빠 이름,지역,기타
홍대,보니따,서울 마포구 동교로 191 디비엠빌딩 지하 1층,
홍대,홍턴,서울 마포구 동교로 207 현우빌딩 지하 1층,
홍대,부에나,서울 마포구 동교로 217 홍대LJ빌딩 지하 1층,
홍대,까리베,서울 마포구 월드컵북로 6길 60 지하 1층,
홍대,마콘도,서울 마포구 홍익로 6길 48 지하 1층,
홍대,펠리스클럽,서울 마포구 월드컵북로 2길 금화빌딩 지하 1층,
홍대,안단테,서울 마포구 양화로 12길 24 선진빌딩 지하 1층,
홍대,놀이터,서울 마포구 동교로 213 지하 1층,
홍대,꼼에야,서울 마포구 동교로 209-4 지하1층,
홍대,하바나,서울 마포구 서교동 어울림마당 53 지하,
홍대,아난타라,서울 마포구 양화로 18안길 20 지하 1층,
홍대,솔SOL바,서울 마포구 홍익로 6길 83 지하 1층,
강남,라틴,서울 강남구 테헤란로6길 9 장원빌딩 지하 1/2층,
강남,강턴,서울 강남구 역삼 1동 831-34 지하 1층,
강남,어썸,서울 강남구 봉은사로 2길 21 반석빌딩 지하 1층,
강남,Sol Bar,서울 강남구 테헤란로 8길 11-7 지하 1층,
강남,마이애미,서울 강남구 테헤란로 14길 25 2층,1차빠
강남,수어쌀롱,서울 강남구 테헤란로 14길 25 2층,2차빠
강남,뉴욕,서울 강남구 강남대로 84길 24-4 지하 1층,
강남,라빠,서울 강남구 강남대로 78길 25 지하 1층,
강남,TOP,서울 강남구 압구정로 224 우미빌딩 지하 1층,
강남,On2,서울 강남구 논현로167길 12 지하 1층,
강남,아지트,서울 강남구 역삼로3길 17-6,
강동,피에스타2,서울 광진구 동일로 92,금요일
광주,마얀,광주 동구 중앙로160번길 15-3 3층,
포항,포항댄스사랑,경상북도 포항시 남구 중앙로 112 4층,


